"Top territories","Distribution"
"GR","0.37"
"RO","0.144"
"CY","0.036"
"DE","0.033"
"US","0.023"
"ET","0.019"
"AU","0.018"
"GB","0.017"
"KR","0.015"
"RS","0.015"
"Others","0.31"
