post_id,content_type,published_at,title,permalink,duration_sec,reach,views,likes,comments,shares,saves,followers_gained,platform,watch_time_sec,avg_watch_sec,link_clicks,engagement_total,engagement_rate
17929598811022760,image,2025-04-20 00:18:00+09:00,"그리스도께서 부활하셨습니다! 참으로 부활하셨습니다!

Christ is risen! Indeed, He is risen!

Χριστὸς ἀνέστη! Ἀληθῶς ἀνέστη!

Христос воскрес! Воистину воскрес!

Christus resurrexit! Resurrexit vere!

Христос възкресе! Наисти",https://www.instagram.com/p/DIogYXmtnNC/,0,624,1523,74,0,4,2,0,instagram,0,0,0,80,0.1282051282051282
17968452095896370,carousel,2025-04-19 16:00:00+09:00,"한국 정교회 대교구 주간 소식 (4월 14일 ~20일)
Weekly News of Orthodox metropolis of Korea (April 14~20)

#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #orthodox #ort #orthodoxy #orthodoxchris",https://www.instagram.com/p/DInnbcPBz82/,0,391,1453,39,0,0,1,0,instagram,0,0,0,40,0.10230179028132992
18230238307288151,short_video,2025-04-18 19:19:00+09:00,"성지주일 오후, 신랑의식
Palm Sunday afternoon, Service of the “Bridegroom”
.
.
.
.
.
.
.
#정교회 #한국정교회 #한국정교회대교구 #orthodox#orthodoxy #orthodoxchristian #orthodoxchurch #christian #christianity #korea #orthodoxkor",https://www.instagram.com/reel/DIlZL6dtNs8/,141,1024,1989,106,0,1,4,7,instagram,0,0,0,111,0.1083984375
18064731124986888,image,2025-04-18 13:40:00+09:00,"세상을 지으신 이가 오늘 나무에 달리셨도다.
천사의 임금께서 가시 면류관을 쓰시고
구름으로 하늘을 씌우는 이가 거짓 곤룡포로 씌어지며
요단강에서 아담을 풀어주신이가
뺨을 내어주셨고 교회의 신랑이 못박히시고 동정녀의 아들이 창에 찔리도다.
그리스도여 주의 고난에 경배하나이다.
주의 고난에 경배하나이다.
그리스도여 주의 영광스러운 부활을 우리에게 나타내소서!
",https://www.instagram.com/p/DIkyhz5tCSz/,0,550,1404,104,0,3,0,1,instagram,0,0,0,107,0.19454545454545455
18110585836478934,short_video,2025-04-17 23:35:00+09:00,"On Lazarus Saturday, April 12, 2025 at St. Paul Church in Incheon, 6 catechumens were received into the
Orthodox Church through the sacrament of baptism, officiated by Metropolitan Ambrosios, Hieromon",https://www.instagram.com/reel/DIjRoHyNNUU/,121,1033,1765,120,5,1,2,12,instagram,0,0,0,128,0.12391093901258471
18040414559615613,short_video,2025-04-17 23:27:00+09:00,"성지주일
Palm Sunday in Seoul, Korea
.
.
.
.
.
.
.
.
.
.
.
#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #orthodox #ort #orthodoxy #orthodoxchristian #orthodoxchurch #christian #ch",https://www.instagram.com/reel/DIjQtAcNAH-/,65,881,1469,93,0,1,1,5,instagram,0,0,0,95,0.10783200908059024
18040759184425897,short_video,2025-04-17 23:21:00+09:00,"On Lazarus Saturday, April 12, 2025 the
Divine Liturgy and Holy Baptism were celebrated at St. Nicholas Cathedral in Seoul, officiated by Metropolitan Ambrosios, Hieromonk Epiphanios, Protopresbyter R",https://www.instagram.com/reel/DIjPwNot6C8/,115,1789,2801,159,9,6,4,4,instagram,0,0,0,178,0.09949692565679151
18289905412222049,carousel,2025-04-16 17:31:00+09:00,"[바르톨로메오스 세계 총대주교 2025년 부활절 메세지]
[Patriarchal Encyclical for Holy Pascha 2025]
.
.
.
.
.
#2025년 #2025 #세계총대주교청 #정교회 #한국정교회 #한국정교회대교구 #부활절 #orthodox #korea #orthodoxkorea #orthodox_korea #ecumenical_pat",https://www.instagram.com/p/DIgDeFXNwSi/,0,713,1726,74,1,2,4,2,instagram,0,0,0,81,0.11360448807854137
17967719675745023,carousel,2025-04-15 22:49:00+09:00,"[2025년 암브로시오스 한국 대주교 및 일본 엑사르호스 부활절 메세지]

[2025 EASTER MESSAGE OF METROPOLITAN AMBROSIOS OF KOREA AND EXARCH OF JAPAN]

[2025 ΠΑΣΧΑΛΙΝΟ ΜΗΝΥΜΑ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΗ ΚΟΡΕΑΣ ΚΑΙ ΕΞΑΡΧΟΥ ΙΑΠΩΝΙΑΣ κ.κ. ΑΜΒΡΟΣΙΟ",https://www.instagram.com/p/DIeDABNNl5I/,0,658,1574,67,0,3,3,0,instagram,0,0,0,73,0.11094224924012158
18053290729992236,carousel,2025-04-12 16:46:00+09:00,"한국 정교회 대교구 주간 소식 (4월 7일 ~13일)
Weekly News of Orthodox metropolis of Korea (April 7~13)

#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #orthodox #ort #orthodoxy #orthodoxchristi",https://www.instagram.com/p/DIVrJiNtpna/,0,263,1047,32,0,0,0,0,instagram,0,0,0,32,0.12167300380228137
18081653776710221,carousel,2025-04-11 22:58:00+09:00,"[암브로시오스 대주교 일본 사목 방문]
지난 주말(4-5일), 암브로시오스 대주교께서 일본 오키나와의 성 니콜라스 성당을 방문하였습니다. 대주교 집전으로 토요일에는 
4명의 예비신자가 세례성사를 통해 정교인이 되었고, 주일에는 성찬예배가 거행되었습니다.

[Metropolitan Ambrosios' Pastoral Visit to Japan]

Last w",https://www.instagram.com/p/DITw2_otipr/,0,300,1068,73,1,0,2,1,instagram,0,0,0,76,0.25333333333333335
17875986705299849,carousel,2025-04-11 17:39:00+09:00,"🎉[서울 성 니콜라스 대성당 음식축제 안내]🎉
서울 성 니콜라스 대성당에서 음식축제가 열립니다! 한국, 그리스,러시아,우크라이나, 미국 등 다양한 나라의 음식들이 준비될 예정입니다!

🗓 2025년 5월 11일 일요일 11:30~ 14:30
📍 애오개역(5호선) 4번출구 SK허브블루와 고려아카데미 사잇길

❗️축제는 준비된 음식이 조기 소진시 예정보다 일찍",https://www.instagram.com/p/DITMahWteoP/,0,1031,2552,56,0,11,5,3,instagram,0,0,0,72,0.06983511154219205
17943064760978993,carousel,2025-04-04 07:19:00+09:00,"2025년 성 대 주간 및 부활절 일정
Schedule for Holy Week and Pascha 2025
.
.
.
.
.
#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #orthodox #ort #orthodoxy #orthodoxchristian #orthodoxchurc",https://www.instagram.com/p/DIAdKRjN-LO/,0,455,1284,42,1,3,6,1,instagram,0,0,0,52,0.11428571428571428
18027067658393906,carousel,2025-04-02 17:08:00+09:00,성 대사순절 마지막 다섯 번째 주일은 이집트의 성녀 마리아를 기념합니다. 성녀는 홀로 사막에서 오랜 기간 동안 회개와 금욕을 통해 영적투쟁을 하여 성인이 되셨습니다. 성녀의 모범은 우리 신자들 각자가 마음의 결단을 통하여 흔들림 없이 인내하며 욕망과 싸우고 회개하도록 도와줍니다. 성 대사순절 막바지에 이른 신자들은 성녀 마리아가 영적 투쟁에서 보여준 인내와,https://www.instagram.com/p/DH79nmKMkhL/,0,293,1051,43,0,1,3,1,instagram,0,0,0,47,0.16040955631399317
18047400833459226,short_video,2025-04-02 15:36:00+09:00,"The Fifth Sunday of Great Lent commemorates Saint Mary of Egypt. She became a saint through long years of repentance and asceticism, engaging in spiritual struggles alone in the desert. Her example he",https://www.instagram.com/reel/DH7zCy-Nt_E/,20,460,719,46,0,0,1,1,instagram,0,0,0,47,0.10217391304347827
18062658509297591,short_video,2025-03-30 14:28:00+09:00,"NEW ORTHODOX CHURCH In Jeonju, Korea
.
.
.
.
.
#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #orthodox #ort #orthodoxy #orthodoxchristian #orthodoxchurch #christian #christiani",https://www.instagram.com/reel/DHz8zvqNMXd/,67,709,1434,100,0,3,1,5,instagram,0,0,0,104,0.1466854724964739
17902477926150417,carousel,2025-03-29 18:49:00+09:00,#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #orthodox #ort #orthodoxy #orthodoxchristian #orthodoxchurch #christian #christianity #jesus #korea #church #prayer #prayers #orth,https://www.instagram.com/p/DHx2BQmtN-V/,0,230,900,37,0,1,1,0,instagram,0,0,0,39,0.16956521739130434
17847281343415305,carousel,2025-03-29 08:30:00+09:00,"한국 정교회 대교구 주간 소식 (3월 24일 ~30일)
Weekly News of Orthodox metropolis of Korea (March 24~30)

#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #orthodox #ort #orthodoxy #orthodoxchris",https://www.instagram.com/p/DHwvQorNMBv/,0,215,791,30,0,0,2,1,instagram,0,0,0,32,0.14883720930232558
17863457961363985,image,2025-03-27 21:00:00+09:00,"사람들이 당신에 대해 하는 말을 두려워하지 마십시오. 이런 것은 악마가 주는 두려움입니다. 하느님께서 당신에 대해 말씀하시는 것,천사들과 성인들이 당신에 대해 말하는 것을 생각하십시오. 다른 사람들과의 관계에서는,마치 당신 마음에서 비치는 빛처럼 사랑이라는 단어가 '항상' 당신과 함께하도록 하십시오. 당신의 마음에서 '사랑'이라는 귀중한 단어가 사라지지 않",https://www.instagram.com/p/DHs7a6MpByj/,0,237,855,46,0,0,0,0,instagram,0,0,0,46,0.1940928270042194
17871393633323265,short_video,2025-03-27 00:23:00+09:00,"부산 성모 희보 성당에서의 십자가 경배 주일
Sunday of the Veneration of the Holy Cross at the Church of the Annunciation in Busan
.
.
.
.
.
.
.
.#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #ort",https://www.instagram.com/reel/DHqthW4NEgT/,61,707,1452,84,0,1,2,7,instagram,0,0,0,87,0.12305516265912306
17992896545788799,carousel,2025-03-22 18:03:00+09:00,"한국 정교회 대교구 주간 소식 (3월 17일 ~23일)
Weekly News of Orthodox metropolis of Korea (March 17~23)

#정교회 #한국정교회 #한국정교회대교구 #교회 #그리스도 #그리스도교 #기독교 #기독교인 #신앙 #믿음 #기도 #교회 #성당 #orthodox #ort #orthodoxy #orthodoxchris",https://www.instagram.com/p/DHfvLLMN2g0/,0,236,981,19,0,0,0,0,instagram,0,0,0,19,0.08050847457627118
